timestamp,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,ghi,direct_normal_irradiance,diffuse_radiation,ghi_clearsky,pv_power_predicted
2024-01-01 08:00:00,24.3,98,0.0,5.2,100,34.0,64.8,26.0,101.083183222782,34.0952
2024-01-01 09:00:00,25.4,94,0.2,6.5,100,113.0,35.2,102.0,340.118725458147,112.8192
2024-01-01 10:00:00,26.8,88,0.1,4.5,100,251.0,82.1,208.0,567.6886015970862,249.1928
2024-01-01 11:00:00,27.5,86,0.1,7.1,100,292.0,52.9,255.0,749.5554634625166,289.08
2024-01-01 12:00:00,28.3,84,0.2,4.1,100,433.0,93.3,356.0,869.0882450048167,427.2844
2024-01-01 13:00:00,29.0,81,0.3,6.9,100,432.0,45.8,391.0,916.7555296775348,425.08799999999997
2024-01-01 14:00:00,26.5,86,2.4,14.7,100,304.0,19.9,286.0,888.9123483569205,302.176
2024-01-01 15:00:00,27.3,83,0.4,10.3,100,387.0,140.0,268.0,787.6735289693736,383.4396
2024-01-01 16:00:00,28.8,79,0.1,11.1,100,658.0,566.8,240.0,620.9731643910527,647.9984000000001
2024-01-01 17:00:00,27.2,81,3.7,13.6,99,370.0,297.8,199.0,403.26157394103564,366.74399999999997
2024-01-01 18:00:00,26.8,85,0.3,8.4,90,146.0,80.8,116.0,161.2713211473707,144.9488
2024-01-01 19:00:00,26.2,87,0.0,7.2,90,81.0,226.2,46.0,0.7134251974794945,80.6112
2024-01-02 08:00:00,24.3,97,0.0,8.4,100,29.0,8.2,28.0,99.79388242902334,29.0812
2024-01-02 09:00:00,25.8,93,0.0,4.9,100,135.0,54.7,118.0,338.9982411654124,134.568
2024-01-02 10:00:00,27.6,85,0.1,9.9,97,397.0,419.1,178.0,567.0577799400003,392.8712
2024-01-02 11:00:00,28.9,78,0.1,10.2,99,549.0,500.0,200.0,749.5144472660816,540.4356
2024-01-02 12:00:00,29.8,75,0.3,10.4,99,722.0,592.5,233.0,869.6785777463239,708.1376
2024-01-02 13:00:00,28.6,79,5.7,15.8,100,756.0,572.7,243.0,917.9717432893098,745.1136
2024-01-02 14:00:00,27.1,87,7.1,9.1,100,364.0,162.5,217.0,890.7029150737268,360.9424
2024-01-02 15:00:00,28.6,82,0.4,10.8,100,650.0,392.4,316.0,789.9412588967369,640.64
2024-01-02 16:00:00,28.3,83,2.2,13.1,98,619.0,562.8,203.0,623.5730299557339,610.8292
2024-01-02 17:00:00,27.4,84,1.9,12.1,94,284.0,164.9,189.0,405.98069810834767,281.27360000000004
2024-01-02 18:00:00,27.7,83,0.1,15.0,45,268.0,455.5,98.0,163.68096482939862,265.1056
2024-01-02 19:00:00,26.8,85,0.0,11.6,21,77.0,250.3,38.0,0.8590237540267561,76.4456
2024-01-03 08:00:00,24.3,97,0.0,5.7,100,20.0,16.4,18.0,98.53485835581975,20.055999999999997
2024-01-03 09:00:00,24.7,97,9.9,4.7,100,39.0,6.5,37.0,337.9205136648839,39.046800000000005
2024-01-03 10:00:00,25.5,93,6.4,7.8,100,71.0,0.0,71.0,566.4775785003867,70.858
2024-01-03 11:00:00,25.8,91,1.5,10.1,100,83.0,0.0,83.0,749.5277681025564,82.73440000000001
2024-01-03 12:00:00,27.1,86,0.1,11.8,100,298.0,17.0,284.0,870.3231663990107,295.4968
2024-01-03 13:00:00,28.2,83,0.4,11.4,100,472.0,94.9,387.0,919.2385744558196,465.9584
2024-01-03 14:00:00,29.1,81,0.4,11.4,100,685.0,317.0,398.0,892.5372790886349,673.7660000000001
2024-01-03 15:00:00,29.5,81,0.3,10.1,99,640.0,292.1,391.0,792.2433667682944,628.48
2024-01-03 16:00:00,28.3,81,5.1,13.3,99,528.0,357.7,263.0,626.1961185446985,521.0304
2024-01-03 17:00:00,27.1,85,1.4,7.5,100,290.0,207.6,170.0,408.71166405603935,287.564
2024-01-03 18:00:00,27.3,85,0.0,9.2,100,193.0,111.9,151.0,166.09627591404006,191.2244
2024-01-03 19:00:00,26.7,88,0.0,7.6,99,71.0,121.1,52.0,1.02388853390795,70.5172
2024-01-04 08:00:00,23.7,99,0.1,8.2,100,26.0,0.0,26.0,97.30736169282132,26.1352
2024-01-04 09:00:00,24.5,95,2.1,7.6,100,30.0,0.0,30.0,336.88690655176333,30.06
2024-01-04 10:00:00,24.9,92,2.6,8.5,100,89.0,0.0,89.0,565.948933854207,89.0356
2024-01-04 11:00:00,25.0,91,2.0,2.4,100,112.0,1.4,111.0,749.5958021873645,112.0
2024-01-04 12:00:00,25.5,89,0.4,3.7,100,160.0,0.0,160.0,871.0217837531984,159.68
2024-01-04 13:00:00,26.3,87,0.4,2.4,100,338.0,48.0,295.0,920.5552035430987,336.24240000000003
2024-01-04 14:00:00,27.5,84,0.4,3.5,100,555.0,139.0,429.0,894.4140854049465,549.45
2024-01-04 15:00:00,27.2,82,3.6,14.3,100,449.0,113.6,352.0,794.5780605612186,445.04879999999997
2024-01-04 16:00:00,25.6,88,0.2,11.3,100,162.0,16.2,150.0,628.8403364387982,161.6112
2024-01-04 17:00:00,27.5,82,0.0,16.0,98,440.0,396.6,210.0,411.4522472225913,435.6
2024-01-04 18:00:00,27.1,83,0.0,13.3,100,230.0,278.3,125.0,168.51509707633193,228.068
2024-01-04 19:00:00,26.1,88,0.0,9.5,100,46.0,19.0,43.0,1.2088559840879471,45.7976
2024-01-05 08:00:00,24.1,97,0.0,10.4,100,23.0,8.3,22.0,96.11261965349411,23.082800000000002
2024-01-05 09:00:00,26.0,89,0.1,15.5,100,134.0,62.0,115.0,335.8987557546452,133.464
2024-01-05 10:00:00,26.2,88,1.9,17.3,100,220.0,55.9,191.0,565.4727374778934,218.944
2024-01-05 11:00:00,27.3,84,0.4,16.0,99,358.0,155.2,250.0,749.7188662359586,354.70640000000003
2024-01-05 12:00:00,28.4,82,0.1,16.2,100,592.0,395.2,266.0,871.7741329551707,583.9488
2024-01-05 13:00:00,27.9,81,3.8,17.5,100,497.0,184.0,332.0,921.920735891642,491.2348
2024-01-05 14:00:00,27.6,79,4.5,19.7,100,561.0,226.0,356.0,896.3319035413582,555.1656
2024-01-05 15:00:00,26.7,83,5.2,17.1,100,328.0,46.8,288.0,796.9434770614697,325.76959999999997
2024-01-05 16:00:00,26.8,84,0.8,18.0,100,318.0,47.0,283.0,631.5035271007226,315.7104
2024-01-05 17:00:00,26.5,86,0.2,16.3,100,280.0,84.2,231.0,414.20017073715314,278.32
2024-01-05 18:00:00,26.3,86,0.7,15.9,99,222.0,221.4,138.0,170.93522352240058,220.8456
2024-01-05 19:00:00,25.8,89,0.0,12.7,100,65.0,144.7,42.0,1.4145835318039752,64.792
2024-01-06 08:00:00,23.7,98,0.0,6.7,58,40.0,134.1,24.0,94.95184113805574,40.208000000000006
2024-01-06 09:00:00,26.1,91,0.0,4.9,91,176.0,321.4,78.0,334.957374572267,175.22560000000001
2024-01-06 10:00:00,27.8,85,0.2,8.3,100,439.0,582.9,137.0,565.0498398959447,434.08320000000003
2024-01-06 11:00:00,28.3,84,0.5,9.0,100,456.0,332.2,225.0,749.8972203734302,449.9808
2024-01-06 12:00:00,28.8,80,1.6,7.9,100,538.0,276.4,310.0,872.5798489087695,529.8224
2024-01-06 13:00:00,26.8,83,13.8,13.6,98,404.0,148.2,271.0,923.334201515798,401.0912
2024-01-06 14:00:00,27.5,84,1.5,5.7,90,340.0,83.7,264.0,898.2892254850595,336.6
2024-01-06 15:00:00,28.2,82,0.9,9.4,100,586.0,364.3,274.0,799.3376781742827,578.4992
2024-01-06 16:00:00,27.0,84,8.4,10.8,90,357.0,193.1,213.0,634.1834660501619,354.144
2024-01-06 17:00:00,27.6,83,0.1,6.5,99,337.0,320.3,150.0,416.95309932618517,333.4952
2024-01-06 18:00:00,27.3,84,0.4,6.5,96,222.0,220.2,138.0,173.3543975126966,219.9576
2024-01-06 19:00:00,26.0,89,1.7,6.6,73,80.0,199.9,48.0,1.6415345087285729,79.68
2024-01-07 08:00:00,22.9,98,0.0,8.3,100,29.0,33.7,25.0,93.82622366402202,29.2436
2024-01-07 09:00:00,24.2,97,1.6,6.6,100,48.0,0.0,48.0,334.06406043321056,48.153600000000004
2024-01-07 10:00:00,24.2,99,1.9,5.8,100,54.0,0.0,54.0,564.6810561197536,54.1728
2024-01-07 11:00:00,24.4,99,3.0,7.3,100,83.0,0.0,83.0,750.1310717747397,83.19919999999999
2024-01-07 12:00:00,24.8,95,6.6,11.9,100,136.0,3.6,133.0,873.4384998094273,136.10879999999997
2024-01-07 13:00:00,25.0,93,8.0,12.0,100,173.0,8.9,165.0,924.7945543512604,173.0
2024-01-07 14:00:00,25.3,93,4.3,12.3,100,226.0,29.7,199.0,900.2844626781371,225.7288
2024-01-07 15:00:00,25.4,91,3.5,8.3,100,295.0,96.7,212.0,801.7586458130792,294.52799999999996
2024-01-07 16:00:00,25.2,90,4.2,5.0,100,169.0,0.0,169.0,636.8778540532261,168.8648
2024-01-07 17:00:00,25.6,89,1.0,3.5,100,109.0,6.8,105.0,419.70863151931337,108.7384
2024-01-07 18:00:00,25.8,89,0.4,10.5,100,124.0,41.7,108.0,175.77030127017332,123.6032
2024-01-07 19:00:00,25.0,91,0.1,6.8,100,49.0,18.6,46.0,1.889966350690174,49.0
2024-01-08 08:00:00,23.1,100,0.0,6.3,100,37.0,93.3,26.0,92.73696071986146,37.2812
2024-01-08 09:00:00,25.0,95,0.4,8.1,100,94.0,72.8,72.0,333.22010212791287,94.0
2024-01-08 10:00:00,26.7,87,0.1,13.1,100,196.0,63.9,163.0,564.3671714299954,194.6672
2024-01-08 11:00:00,28.7,81,0.1,12.8,100,635.0,695.5,152.0,750.4205785438096,625.602
2024-01-08 12:00:00,29.4,78,0.1,12.8,100,657.0,517.7,230.0,874.3495887952314,645.4368000000001
2024-01-08 13:00:00,30.0,77,0.3,15.3,100,857.0,706.8,222.0,926.3006716166443,839.86
2024-01-08 14:00:00,29.0,77,0.7,16.7,100,716.0,396.6,355.0,902.3159431168962,704.544
2024-01-08 15:00:00,29.1,76,1.2,15.9,100,631.0,392.1,294.0,804.204276970542,620.6516
2024-01-08 16:00:00,29.2,77,0.8,17.8,100,633.0,536.4,231.0,639.5843105465558,622.3656
2024-01-08 17:00:00,28.5,76,0.6,16.4,100,427.0,435.6,171.0,422.4642920278822,421.022
2024-01-08 18:00:00,27.8,79,0.2,14.4,100,268.0,360.6,129.0,178.18054997399452,264.9984
2024-01-08 19:00:00,26.8,84,0.1,10.7,100,66.0,117.2,47.0,2.159922015562642,65.5248
2024-01-09 08:00:00,23.7,98,0.0,6.5,100,34.0,51.2,28.0,91.68524833861714,34.1768
2024-01-09 09:00:00,24.5,97,2.1,6.1,100,50.0,0.0,50.0,332.42678628177725,50.1
2024-01-09 10:00:00,24.8,95,1.0,6.5,100,82.0,0.0,82.0,564.1089469837447,82.06559999999999
2024-01-09 11:00:00,25.0,94,5.5,7.1,100,148.0,0.0,148.0,750.7658540640801,148.0
2024-01-09 12:00:00,25.8,91,4.2,4.3,100,143.0,0.0,143.0,875.3125568750951,142.54240000000001
2024-01-09 13:00:00,27.5,87,0.7,6.9,99,414.0,130.1,297.0,927.8513551257298,409.86
2024-01-09 14:00:00,29.0,82,0.8,5.2,100,817.0,552.0,314.0,904.3819110562206,803.928
2024-01-09 15:00:00,28.1,81,10.3,8.3,100,491.0,203.3,316.0,806.6723819047464,484.9116
2024-01-09 16:00:00,27.0,88,14.5,7.7,100,233.0,32.0,209.0,642.3003705056678,231.136
2024-01-09 17:00:00,26.8,88,5.7,8.3,91,201.0,39.0,178.0,425.2175276552878,199.5528
2024-01-09 18:00:00,26.2,87,4.1,5.0,97,173.0,113.6,129.0,180.58268778301766,172.1696
2024-01-09 19:00:00,25.9,91,0.0,5.4,100,81.0,165.5,54.0,2.451224770055929,80.7084
2024-01-10 08:00:00,23.8,95,0.0,13.1,100,22.0,0.0,22.0,90.67228881978238,22.1056
2024-01-10 09:00:00,23.9,96,3.4,8.1,100,31.0,0.0,31.0,331.68540141954423,31.1364
2024-01-10 10:00:00,24.2,95,0.3,11.7,100,62.0,0.0,62.0,563.9071242595415,62.19840000000001
2024-01-10 11:00:00,25.3,90,0.3,12.9,100,138.0,0.0,138.0,751.1669718374537,137.83440000000002
2024-01-10 12:00:00,26.3,89,0.1,10.6,100,218.0,20.6,201.0,876.3267879521263,216.8664
2024-01-10 13:00:00,27.4,86,0.1,12.6,100,358.0,131.2,240.0,929.4453363882225,354.5632
2024-01-10 14:00:00,26.4,87,4.3,13.7,100,416.0,57.0,364.0,906.4805319868311,413.6704
2024-01-10 15:00:00,28.1,81,0.5,15.7,96,570.0,279.5,329.0,809.1606887917803,562.932
2024-01-10 16:00:00,28.0,82,2.1,10.4,95,544.0,356.0,276.0,645.0234885644218,537.472
2024-01-10 17:00:00,27.4,84,2.7,14.6,99,505.0,644.0,124.0,427.96571072118115,500.15200000000004
2024-01-10 18:00:00,26.5,86,1.9,8.9,99,218.0,264.5,115.0,182.97419056849466,216.692
2024-01-10 19:00:00,26.0,88,0.0,8.6,100,75.0,225.4,38.0,2.763476826433115,74.7
2024-01-11 08:00:00,23.6,99,0.0,6.7,100,36.0,86.4,26.0,89.69928879708482,36.2016
2024-01-11 09:00:00,26.2,89,0.0,13.0,100,187.0,274.7,105.0,330.9972362410435,186.1024
2024-01-11 10:00:00,27.4,86,0.0,10.0,99,350.0,305.6,193.0,563.7624256178896,346.64000000000004
2024-01-11 11:00:00,28.8,80,0.1,12.6,99,502.0,445.6,193.0,751.6239687570043,494.3696
2024-01-11 12:00:00,29.4,77,0.2,13.6,98,673.0,544.0,224.0,877.3916149490537,661.1552
2024-01-11 13:00:00,30.1,76,0.1,11.9,99,650.0,373.2,314.0,931.0812854306113,636.74
2024-01-11 14:00:00,28.8,75,1.5,13.0,73,637.0,335.0,331.0,908.6099038303795,627.3176
2024-01-11 15:00:00,29.4,76,0.2,12.6,74,541.0,386.7,207.0,811.6668567578611,531.4784000000001
2024-01-11 16:00:00,29.0,73,0.2,14.3,87,545.0,405.5,239.0,647.7510531424821,536.28
2024-01-11 17:00:00,28.4,75,0.0,14.8,99,355.0,316.8,167.0,430.7061532441694,350.172
2024-01-11 18:00:00,28.1,77,0.6,13.7,100,252.0,383.4,102.0,185.3524788226658,248.8752
2024-01-11 19:00:00,27.1,84,0.0,10.3,100,50.0,24.2,46.0,3.096062662823986,49.58
2024-01-12 08:00:00,23.3,96,1.6,8.8,100,10.0,0.0,10.0,88.7674486844212,10.068
2024-01-12 09:00:00,26.0,91,0.0,8.4,100,168.0,174.8,116.0,330.363568202782,167.328
2024-01-12 10:00:00,27.0,86,0.2,11.2,100,345.0,302.1,190.0,563.6755468451647,342.24
2024-01-12 11:00:00,26.0,86,4.4,13.7,100,281.0,115.4,201.0,752.1368429644386,279.876
2024-01-12 12:00:00,27.0,86,2.1,11.2,100,390.0,136.9,277.0,878.5063235340282,386.88
2024-01-12 13:00:00,27.8,81,0.8,13.7,100,592.0,210.9,402.0,932.7578204708474,585.3696
2024-01-12 14:00:00,26.7,85,3.9,12.9,100,538.0,247.1,312.0,910.7680721940627,534.3416
2024-01-12 15:00:00,25.6,89,5.7,14.4,100,255.0,18.5,239.0,814.1884959235479,254.388
2024-01-12 16:00:00,25.5,91,5.1,9.7,100,122.0,0.0,122.0,650.4804100644885,121.756
2024-01-12 17:00:00,25.0,93,1.4,10.7,100,63.0,0.0,63.0,433.43613249249177,63.0
2024-01-12 18:00:00,25.3,91,0.4,9.2,100,98.0,5.1,96.0,187.71494218046553,97.8824
2024-01-12 19:00:00,25.1,92,0.1,8.0,100,39.0,0.0,39.0,3.4481579087578145,38.9844
2024-01-13 08:00:00,23.8,98,0.0,8.3,100,28.0,34.9,24.0,87.8779425706005,28.1344
2024-01-13 09:00:00,25.6,95,0.0,3.3,100,140.0,135.0,100.0,329.7856403011283,139.66400000000002
2024-01-13 10:00:00,27.0,88,0.1,4.2,100,289.0,218.5,177.0,563.647138816861,286.688
2024-01-13 11:00:00,28.0,83,0.1,9.1,99,446.0,362.1,195.0,752.7055427455346,440.64799999999997
2024-01-13 12:00:00,29.0,76,0.0,9.4,99,628.0,398.3,299.0,879.6701494195871,617.952
2024-01-13 13:00:00,29.7,75,0.0,10.2,99,721.0,464.6,302.0,934.4735141170072,707.4452
2024-01-13 14:00:00,29.8,75,0.1,11.6,100,762.0,556.9,252.0,912.9530452872355,747.3696
2024-01-13 15:00:00,28.9,76,1.5,9.4,100,538.0,354.2,231.0,816.7231902131153,529.6072
2024-01-13 16:00:00,27.5,82,1.1,12.3,100,385.0,213.7,223.0,653.2088917898852,381.15
2024-01-13 17:00:00,27.4,82,0.5,14.5,100,247.0,144.0,161.0,436.1529243722388,244.6288
