2024-01-01 00:00 → 2026-09-15 23:59 UTC: 78131 scans to process (32 workers)
  [200/78131] ok=197 missing=3 error=0 (13602 scans/h, ETA 5.7 h)
  [400/78131] ok=393 missing=7 error=0 (16388 scans/h, ETA 4.7 h)
  [600/78131] ok=591 missing=9 error=0 (16969 scans/h, ETA 4.6 h)
  [800/78131] ok=788 missing=12 error=0 (18226 scans/h, ETA 4.2 h)
  [1000/78131] ok=986 missing=14 error=0 (18347 scans/h, ETA 4.2 h)
  [1200/78131] ok=1182 missing=18 error=0 (18509 scans/h, ETA 4.2 h)
  [1400/78131] ok=1380 missing=20 error=0 (18995 scans/h, ETA 4.0 h)
  [1600/78131] ok=1576 missing=24 error=0 (19430 scans/h, ETA 3.9 h)
  [1800/78131] ok=1774 missing=26 error=0 (19861 scans/h, ETA 3.8 h)
  [2000/78131] ok=1971 missing=29 error=0 (19856 scans/h, ETA 3.8 h)
  [2200/78131] ok=2168 missing=32 error=0 (20280 scans/h, ETA 3.7 h)
  [2400/78131] ok=2365 missing=35 error=0 (20717 scans/h, ETA 3.7 h)
  [2600/78131] ok=2562 missing=38 error=0 (20676 scans/h, ETA 3.7 h)
  [2800/78131] ok=2759 missing=41 error=0 (20631 scans/h, ETA 3.7 h)
  [3000/78131] ok=2956 missing=44 error=0 (20694 scans/h, ETA 3.6 h)
  [3200/78131] ok=3154 missing=46 error=0 (20519 scans/h, ETA 3.7 h)
  [3400/78131] ok=3350 missing=50 error=0 (20462 scans/h, ETA 3.7 h)
  [3600/78131] ok=3547 missing=53 error=0 (20362 scans/h, ETA 3.7 h)
  [3800/78131] ok=3743 missing=57 error=0 (20587 scans/h, ETA 3.6 h)
  [4000/78131] ok=3941 missing=59 error=0 (20701 scans/h, ETA 3.6 h)
  [4200/78131] ok=4138 missing=62 error=0 (20954 scans/h, ETA 3.5 h)
  [4400/78131] ok=4336 missing=64 error=0 (20870 scans/h, ETA 3.5 h)
  [4600/78131] ok=4532 missing=68 error=0 (21083 scans/h, ETA 3.5 h)
  [4800/78131] ok=4728 missing=72 error=0 (21166 scans/h, ETA 3.5 h)
  [5000/78131] ok=4925 missing=75 error=0 (20842 scans/h, ETA 3.5 h)
  [5200/78131] ok=5123 missing=77 error=0 (20687 scans/h, ETA 3.5 h)
  [5400/78131] ok=5320 missing=80 error=0 (20749 scans/h, ETA 3.5 h)
  [5600/78131] ok=5518 missing=82 error=0 (20645 scans/h, ETA 3.5 h)
  [5800/78131] ok=5715 missing=85 error=0 (20719 scans/h, ETA 3.5 h)
  [6000/78131] ok=5912 missing=88 error=0 (20953 scans/h, ETA 3.4 h)
  [6200/78131] ok=6109 missing=91 error=0 (21158 scans/h, ETA 3.4 h)
  [6400/78131] ok=6306 missing=94 error=0 (21277 scans/h, ETA 3.4 h)
  [6600/78131] ok=6504 missing=96 error=0 (21302 scans/h, ETA 3.4 h)
  [6800/78131] ok=6701 missing=99 error=0 (21243 scans/h, ETA 3.4 h)
  [7000/78131] ok=6898 missing=102 error=0 (21175 scans/h, ETA 3.4 h)
  [7200/78131] ok=7095 missing=105 error=0 (20913 scans/h, ETA 3.4 h)
  [7400/78131] ok=7293 missing=107 error=0 (20374 scans/h, ETA 3.5 h)
  [7600/78131] ok=7490 missing=110 error=0 (20029 scans/h, ETA 3.5 h)
  [7800/78131] ok=7688 missing=112 error=0 (19722 scans/h, ETA 3.6 h)
  [8000/78131] ok=7885 missing=115 error=0 (19665 scans/h, ETA 3.6 h)
  [8200/78131] ok=8082 missing=118 error=0 (19718 scans/h, ETA 3.5 h)
  [8400/78131] ok=8279 missing=121 error=0 (19755 scans/h, ETA 3.5 h)
  [8600/78131] ok=8477 missing=123 error=0 (19779 scans/h, ETA 3.5 h)
  [8800/78131] ok=8674 missing=126 error=0 (19813 scans/h, ETA 3.5 h)
  [9000/78131] ok=8871 missing=129 error=0 (19770 scans/h, ETA 3.5 h)
  [9200/78131] ok=9068 missing=132 error=0 (19698 scans/h, ETA 3.5 h)
  [9400/78131] ok=9265 missing=135 error=0 (19737 scans/h, ETA 3.5 h)
  [9600/78131] ok=9463 missing=137 error=0 (19764 scans/h, ETA 3.5 h)
  [9800/78131] ok=9660 missing=140 error=0 (19722 scans/h, ETA 3.5 h)
  [10000/78131] ok=9858 missing=142 error=0 (19754 scans/h, ETA 3.4 h)
  [10200/78131] ok=10051 missing=149 error=0 (19725 scans/h, ETA 3.4 h)
  [10400/78131] ok=10248 missing=152 error=0 (19643 scans/h, ETA 3.4 h)
  [10600/78131] ok=10445 missing=155 error=0 (19591 scans/h, ETA 3.4 h)
  [10800/78131] ok=10643 missing=157 error=0 (19495 scans/h, ETA 3.5 h)
  [11000/78131] ok=10840 missing=160 error=0 (19469 scans/h, ETA 3.4 h)
  [11200/78131] ok=11038 missing=162 error=0 (19476 scans/h, ETA 3.4 h)
  [11400/78131] ok=11234 missing=166 error=0 (19515 scans/h, ETA 3.4 h)
  [11600/78131] ok=11432 missing=168 error=0 (19581 scans/h, ETA 3.4 h)
  [11800/78131] ok=11629 missing=171 error=0 (19631 scans/h, ETA 3.4 h)
  [12000/78131] ok=11827 missing=173 error=0 (19622 scans/h, ETA 3.4 h)
  [12200/78131] ok=12024 missing=176 error=0 (19476 scans/h, ETA 3.4 h)
  [12400/78131] ok=12221 missing=179 error=0 (19179 scans/h, ETA 3.4 h)
  [12600/78131] ok=12418 missing=182 error=0 (18860 scans/h, ETA 3.5 h)
  [12800/78131] ok=12615 missing=185 error=0 (18618 scans/h, ETA 3.5 h)
  [13000/78131] ok=12813 missing=187 error=0 (18298 scans/h, ETA 3.6 h)
  [13200/78131] ok=13010 missing=190 error=0 (18192 scans/h, ETA 3.6 h)
  [13400/78131] ok=13208 missing=192 error=0 (18123 scans/h, ETA 3.6 h)
  [13600/78131] ok=13405 missing=195 error=0 (18048 scans/h, ETA 3.6 h)
  [13800/78131] ok=13602 missing=198 error=0 (17925 scans/h, ETA 3.6 h)
  [14000/78131] ok=13799 missing=201 error=0 (17903 scans/h, ETA 3.6 h)
  [14200/78131] ok=13997 missing=203 error=0 (17847 scans/h, ETA 3.6 h)
  [14400/78131] ok=14194 missing=206 error=0 (17693 scans/h, ETA 3.6 h)
  [14600/78131] ok=14392 missing=208 error=0 (17603 scans/h, ETA 3.6 h)
  [14800/78131] ok=14587 missing=213 error=0 (17484 scans/h, ETA 3.6 h)
  [15000/78131] ok=14784 missing=216 error=0 (17220 scans/h, ETA 3.7 h)
  [15200/78131] ok=14982 missing=218 error=0 (17228 scans/h, ETA 3.7 h)
  [15400/78131] ok=15179 missing=221 error=0 (17226 scans/h, ETA 3.6 h)
  [15600/78131] ok=15377 missing=223 error=0 (17245 scans/h, ETA 3.6 h)
  [15800/78131] ok=15574 missing=226 error=0 (17231 scans/h, ETA 3.6 h)
  [16000/78131] ok=15771 missing=229 error=0 (17025 scans/h, ETA 3.6 h)
  [16200/78131] ok=15968 missing=232 error=0 (16823 scans/h, ETA 3.7 h)
  [16400/78131] ok=16166 missing=234 error=0 (16662 scans/h, ETA 3.7 h)
  [16600/78131] ok=16363 missing=237 error=0 (16487 scans/h, ETA 3.7 h)
  [16800/78131] ok=16561 missing=239 error=0 (16351 scans/h, ETA 3.8 h)
  [17000/78131] ok=16757 missing=243 error=0 (16272 scans/h, ETA 3.8 h)
  [17200/78131] ok=16955 missing=245 error=0 (16209 scans/h, ETA 3.8 h)
  [17400/78131] ok=17152 missing=248 error=0 (16169 scans/h, ETA 3.8 h)
  [17600/78131] ok=17350 missing=250 error=0 (16119 scans/h, ETA 3.8 h)
  [17800/78131] ok=17546 missing=254 error=0 (16030 scans/h, ETA 3.8 h)
  [18000/78131] ok=17744 missing=256 error=0 (15974 scans/h, ETA 3.8 h)
  [18200/78131] ok=17940 missing=260 error=0 (15926 scans/h, ETA 3.8 h)
  [18400/78131] ok=18137 missing=263 error=0 (15880 scans/h, ETA 3.8 h)
  [18600/78131] ok=18335 missing=265 error=0 (15806 scans/h, ETA 3.8 h)
  [18800/78131] ok=18532 missing=268 error=0 (15762 scans/h, ETA 3.8 h)
  [19000/78131] ok=18729 missing=271 error=0 (15693 scans/h, ETA 3.8 h)
  [19200/78131] ok=18925 missing=275 error=0 (15660 scans/h, ETA 3.8 h)
  [19400/78131] ok=19123 missing=277 error=0 (15658 scans/h, ETA 3.8 h)
  [19600/78131] ok=19320 missing=280 error=0 (15657 scans/h, ETA 3.7 h)
  [19800/78131] ok=19518 missing=282 error=0 (15643 scans/h, ETA 3.7 h)
  [20000/78131] ok=19714 missing=286 error=0 (15633 scans/h, ETA 3.7 h)
  [20200/78131] ok=19912 missing=288 error=0 (15603 scans/h, ETA 3.7 h)
  [20400/78131] ok=20108 missing=292 error=0 (15583 scans/h, ETA 3.7 h)
  [20600/78131] ok=20306 missing=294 error=0 (15582 scans/h, ETA 3.7 h)
  [20800/78131] ok=20503 missing=297 error=0 (15587 scans/h, ETA 3.7 h)
  [21000/78131] ok=20701 missing=299 error=0 (15605 scans/h, ETA 3.7 h)
  [21200/78131] ok=20897 missing=303 error=0 (15583 scans/h, ETA 3.7 h)
  [21400/78131] ok=21093 missing=307 error=0 (15567 scans/h, ETA 3.6 h)
  [21600/78131] ok=21291 missing=309 error=0 (15537 scans/h, ETA 3.6 h)
  [21800/78131] ok=21488 missing=312 error=0 (15515 scans/h, ETA 3.6 h)
  [22000/78131] ok=21686 missing=314 error=0 (15491 scans/h, ETA 3.6 h)
  [22200/78131] ok=21882 missing=318 error=0 (15497 scans/h, ETA 3.6 h)
  [22400/78131] ok=22080 missing=320 error=0 (15499 scans/h, ETA 3.6 h)
  [22600/78131] ok=22223 missing=377 error=0 (15540 scans/h, ETA 3.6 h)
  [22800/78131] ok=22421 missing=379 error=0 (15557 scans/h, ETA 3.6 h)
  [23000/78131] ok=22618 missing=382 error=0 (15563 scans/h, ETA 3.5 h)
  [23200/78131] ok=22816 missing=384 error=0 (15591 scans/h, ETA 3.5 h)
  [23400/78131] ok=23012 missing=388 error=0 (15617 scans/h, ETA 3.5 h)
  [23600/78131] ok=23209 missing=391 error=0 (15631 scans/h, ETA 3.5 h)
