Model,Horizon,MAE_Wm2,R2
Persistence,t+1h,157.7355601948504,0.45887801481868273
Smart persistence,t+1h,73.50036220265753,0.864131197364258
Persistence,t+2h,265.52818371607515,-0.4150356389687486
Smart persistence,t+2h,117.19574846167767,0.6858698526058162
Persistence,t+3h,335.4405010438413,-1.32205211896816
Smart persistence,t+3h,146.61259298027838,0.4898302288582589
Linear Regression,t+1h,64.33446913048012,0.8851837222036094
Random Forest,t+1h,48.09903270702853,0.9213411812865006
LightGBM,t+1h,48.54343809600307,0.9223262435693815
Linear Regression,t+2h,94.50998786013768,0.7741193619034012
Random Forest,t+2h,64.66540013917884,0.8703563847112799
LightGBM,t+2h,64.8034345694137,0.8693525166760768
Linear Regression,t+3h,115.52547021465644,0.6793211239995232
Random Forest,t+3h,72.33930410577591,0.841095930078448
LightGBM,t+3h,72.9207084396142,0.8345081528319777
