Model,MAE_W,RMSE_W,R2_test,nMAE_pct,R2_train
Ensemble E2: Stacking,0.0126,0.0293,1.0000,0.0031,1.0000
Linear Regression,0.0125,0.0294,1.0000,0.0031,1.0000
Ensemble E1: Avg Top-3,0.0870,0.1392,1.0000,0.0216,1.0000
Random Forest (n=200),0.1182,0.2132,1.0000,0.0293,1.0000
Gradient Boosting (sklearn),0.1828,0.2731,1.0000,0.0453,1.0000
Extra Trees (n=200),0.2888,0.5657,1.0000,0.0715,1.0000
Decision Tree (max_depth=12),0.5071,0.6886,1.0000,0.1256,1.0000
LightGBM,0.6949,0.8966,1.0000,0.1722,1.0000
Ridge Regression (α=10),0.6918,0.9355,1.0000,0.1714,1.0000
XGBoost,0.7450,1.0060,1.0000,0.1846,1.0000
Ensemble E3: Weighted Avg,1.9082,2.6556,0.9998,0.4728,1.0000
"SVR (RBF, C=100)",3.6138,5.7979,0.9993,0.8953,0.9997
"MLP (128-64-32, ReLU)",5.8984,7.5490,0.9987,1.4613,0.9993
"KNN (k=10, dist-weighted)",19.0573,25.5326,0.9856,4.7214,1.0000
PVLib Baseline,65.7077,74.2867,0.8782,16.2791,0.8829
