A,B,dMAE,ci_lo,ci_hi,p_boot,DM,p_dm,hac_lags,significant
Physics-Gated (large) ★,Physics-Gated (no ghi_lag1),-1.0655368566513062,-1.91704783141613,-0.15733267851173893,0.0212,-2.530122999651532,0.011552689961694673,15,True
Physics-Gated (large) ★,CNN-only,-3.416064739227295,-4.623318636417389,-2.133501809835434,0.0,-5.757811258270331,1.128699067542982e-08,15,True
Physics-Gated (large) ★,Naive concat fusion,-3.4390172958374023,-4.858718943595886,-2.3681897640228273,0.0,-5.588570993071124,2.9416030944418026e-08,15,True
Physics-Gated (large) ★,LSTM-only,-7.524811267852783,-13.19648094177246,-1.6415190905332566,0.008,-2.6459182791192126,0.008273066966057563,15,True
Physics-Gated (large) ★,Physics-Gated (small),-10.510564804077148,-12.950373411178589,-7.752606987953186,0.0,-8.137583747567133,1.1102230246251565e-15,15,True
Physics-Gated (large) ★,Smart persistence,-40.45933532714844,-45.55971622467041,-34.83089151382447,0.0,-15.143197351540813,0.0,15,True
Physics-Gated (no ghi_lag1),CNN-only,-2.3505280017852783,-3.7493198573589326,-0.9808403939008713,0.0002,-3.628724665783906,0.00029903377387374697,15,True
Physics-Gated (no ghi_lag1),Naive concat fusion,-2.3734803199768066,-3.837767070531845,-1.382373556494713,0.0,-3.884450216582353,0.00010921010791720143,15,True
Physics-Gated (no ghi_lag1),LSTM-only,-6.459275722503662,-12.116034984588623,-0.6266415596008321,0.0264,-2.2875187991054817,0.022370773393552534,15,True
Physics-Gated (no ghi_lag1),Physics-Gated (small),-9.445027351379395,-11.72143988609314,-6.907098984718322,0.0,-7.806887960582113,1.4654943925052066e-14,15,True
Physics-Gated (no ghi_lag1),Smart persistence,-39.393798828125,-44.7007643699646,-33.61140880584717,0.0,-14.31359037727956,0.0,15,True
CNN-only,Naive concat fusion,-0.022952165454626083,-2.2482399940490723,1.8172898411750782,0.8356,-0.023257687475585397,0.9814492989351797,15,False
CNN-only,LSTM-only,-4.108746528625488,-9.497793412208557,1.3591659754514658,0.1654,-1.5383651136561678,0.12427134198098155,15,False
CNN-only,Physics-Gated (small),-7.094500541687012,-9.823618078231812,-4.093510317802429,0.0,-5.0165702944882336,6.208071376967439e-07,15,True
CNN-only,Smart persistence,-37.04327392578125,-41.531253051757815,-31.937341642379764,0.0,-15.16287779592867,0.0,15,True
Naive concat fusion,LSTM-only,-4.085793972015381,-10.096219849586486,2.541516286134719,0.2818,-1.3287029824705683,0.1842449057703719,15,False
Naive concat fusion,Physics-Gated (small),-7.0715484619140625,-9.416038942337035,-3.960129970312119,0.0,-5.218561478973221,2.186405536619418e-07,15,True
Naive concat fusion,Smart persistence,-37.020320892333984,-42.32151193618775,-30.850998783111578,0.0,-12.927259192904554,0.0,15,True
LSTM-only,Physics-Gated (small),-2.9857535362243652,-8.620460700988769,2.909098500013349,0.2694,-1.0716241603965826,0.28414386319744445,15,False
LSTM-only,Smart persistence,-32.93452072143555,-40.138560962677005,-24.664074325561526,0.0,-8.50769963557962,0.0,15,True
Physics-Gated (small),Smart persistence,-29.948772430419922,-35.759700012207034,-23.93639211654664,0.0,-10.288905240046002,0.0,15,True
