Model,Horizon,MAE_Wm2,RMSE_Wm2,R2,nMAE_pct,PICP_pct
LSTM-only,t+1h,76.09149932861328,106.34476931630206,0.7890819311141968,15.982327091398238,87.38916256157636
LSTM-only,t+2h,88.93260955810547,117.34511483893354,0.5829737186431885,18.67948545619957,92.11822660098522
LSTM-only,t+3h,93.07001495361328,120.23659943523852,0.5382639169692993,19.54850981403419,93.69458128078819
CNN-only,t+1h,73.69345092773438,96.53527629997492,0.8261984586715698,15.478638844195586,84.23645320197043
CNN-only,t+2h,85.6742935180664,109.65158778205175,0.6358642578125,17.99510581880857,87.68472906403942
CNN-only,t+3h,86.400146484375,112.81247835872368,0.5935240983963013,18.147564629978866,91.0344827586207
Naive concat fusion,t+1h,72.81182098388672,99.08992621130818,0.8168779611587524,15.293460496279318,86.4039408866995
Naive concat fusion,t+2h,84.82524871826172,110.86182718394326,0.6277819275856018,17.81677168391229,86.99507389162562
Naive concat fusion,t+3h,88.19967651367188,115.78899687308376,0.5717917084693909,18.52553953903945,90.3448275862069
Physics-Gated (large) ★,t+1h,68.76093292236328,93.55140423518506,0.8367767333984375,14.442608317242783,89.35960591133005
Physics-Gated (large) ★,t+2h,82.03870391845703,106.68927118477049,0.6552733182907104,17.231483302972656,87.78325123152709
Physics-Gated (large) ★,t+3h,84.7200698852539,111.33338693705046,0.6041129231452942,17.794679827041882,91.33004926108374
Physics-Gated (small),t+1h,78.76461029052734,108.813051944321,0.7791774272918701,16.543789726802604,85.51724137931035
Physics-Gated (small),t+2h,90.75089263916016,118.99099312684343,0.571193277835846,19.06139927315131,89.65517241379311
Physics-Gated (small),t+3h,97.53589630126953,123.15895788065926,0.5155460834503174,20.486527556875235,92.70935960591133
Physics-Gated (no ghi_lag1),t+1h,71.10172271728516,95.91941502994845,0.82840895652771,14.9342699152497,87.88177339901478
Physics-Gated (no ghi_lag1),t+2h,82.84320831298828,109.61606470141591,0.636100172996521,17.40046213100622,86.79802955665025
Physics-Gated (no ghi_lag1),t+3h,84.77137756347656,112.25869085231218,0.5975050926208496,17.80545653801341,89.85221674876847
