verified_at,forecast_time,target_time,horizon,forecast_wm2,actual_wm2,source,abs_error_wm2,in_90ci
2026-08-12 14:00,2026-08-12 10:00,2026-08-12 11:00,t+1h,605.5,674.0,measured,68.5,True
2026-08-12 14:00,2026-08-12 10:00,2026-08-12 12:00,t+2h,701.5,766.0,measured,64.5,True
2026-08-12 14:00,2026-08-12 10:00,2026-08-12 13:00,t+3h,764.7,780.0,measured,15.3,True
2026-08-13 13:32,2026-08-13 10:00,2026-08-13 11:00,t+1h,609.5,556.0,measured,53.5,True
2026-08-13 13:32,2026-08-13 10:00,2026-08-13 12:00,t+2h,704.0,685.0,measured,19.0,True
2026-08-13 13:32,2026-08-13 10:00,2026-08-13 13:00,t+3h,765.5,746.0,measured,19.5,True
2026-08-14 13:20,2026-08-14 10:00,2026-08-14 11:00,t+1h,558.6,632.0,measured,73.4,True
2026-08-14 13:20,2026-08-14 10:00,2026-08-14 12:00,t+2h,670.9,792.0,measured,121.1,True
2026-08-14 13:20,2026-08-14 10:00,2026-08-14 13:00,t+3h,747.7,857.0,measured,109.3,True
2026-08-15 22:03,2026-08-15 10:00,2026-08-15 11:00,t+1h,631.5,594.0,measured,37.5,True
2026-08-15 22:03,2026-08-15 10:00,2026-08-15 12:00,t+2h,717.1,760.0,measured,42.9,True
2026-08-15 22:03,2026-08-15 10:00,2026-08-15 13:00,t+3h,770.6,835.0,measured,64.4,True
2026-08-16 15:34,2026-08-16 10:00,2026-08-16 11:00,t+1h,620.3,586.0,measured,34.3,True
2026-08-16 15:34,2026-08-16 10:00,2026-08-16 12:00,t+2h,710.4,670.0,measured,40.4,True
2026-08-16 15:34,2026-08-16 10:00,2026-08-16 13:00,t+3h,768.2,626.0,measured,142.2,True
2026-08-17 20:58,2026-08-17 10:00,2026-08-17 11:00,t+1h,584.5,641.0,measured,56.5,True
2026-08-17 20:58,2026-08-17 10:00,2026-08-17 12:00,t+2h,688.1,801.0,measured,112.9,True
2026-08-17 20:58,2026-08-17 10:00,2026-08-17 13:00,t+3h,757.7,728.0,measured,29.7,True
2026-08-18 13:16,2026-08-18 10:00,2026-08-18 11:00,t+1h,606.5,612.0,measured,5.5,True
2026-08-18 13:16,2026-08-18 10:00,2026-08-18 12:00,t+2h,702.0,795.0,measured,93.0,True
2026-08-18 13:16,2026-08-18 10:00,2026-08-18 13:00,t+3h,764.4,866.0,measured,101.6,True
2026-08-19 18:02,2026-08-19 11:00,2026-08-19 12:00,t+1h,562.8,754.0,measured,191.2,True
2026-08-19 18:02,2026-08-19 11:00,2026-08-19 13:00,t+2h,650.7,863.0,measured,212.3,True
2026-08-19 18:02,2026-08-19 11:00,2026-08-19 14:00,t+3h,685.2,883.0,measured,197.8,True
